-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07820663635759502-0.11290622240232603j),(0.9217927544736222+0.11290747024367884j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0019602747059133275-0.010482568537709312j),(0.0019602747059133275-0.010482568537709312j),(0.07820663635759502-0.11290622240232603j),(0.9217927544736222+0.11290747024367884j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0019602747059133275-0.010482568537709312j),(0.0019602747059133275-0.010482568537709312j),(0.0022965710250645414-0.013113609140182374j),(0.003584309690891196-0.01833394479254019j),(0.06807665681734233-0.09248429481683908j),(0.8537157912478852+0.20539179257128146j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.008089072468857974-0.015341471793838086j),(0.008089072468857974-0.015341471793838086j),(0.0022591703114898183-0.012840475788578335j),(0.003546908977316473-0.01806081144093615j),(0.004821948468057995-0.01698898761855438j),(0.007397425799711303-0.02742965892327001j),(0.08450323230288434-0.08871077960624042j),(0.7692125762005579+0.29410279051708305j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004163367106398741-0.015484185118923304j),(0.004163367106398741-0.015484185118923304j),(0.008497475458147316-0.018222268123839095j),(0.015620310809672668-0.026709386624394732j),(0.004757086094500055-0.01639725530100757j),(0.007275280405886086-0.0266557258780481j),(0.00550996442353368-0.013246460050463241j),(0.013285796706653646-0.03444171587862578j),(0.08524280611271692-0.0641555818078145j),(0.6839695784942639+0.35825828501643664j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0024053736662338347-0.010683739924972634j),(0.0024053736662338347-0.010683739924972634j),(0.004075131860752202-0.01753819461349067j),(0.008243054764030509-0.027578770508656j),(0.010274469136660329-0.021277249353828423j),(0.02440557379917647-0.037887084899589495j),(0.00515203190939955-0.012729644553923657j),(0.012756015131717684-0.03337829819906091j),(0.005194722154881381-0.014843812434297894j),(0.019991214982163073-0.03971350765385279j),(0.08659203607849994-0.05726494728637621j),(0.5973776081584268+0.41552316964484165j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0039123936726773514-0.007600066169491746j),(0.0039123936726773514-0.007600066169491746j),(0.002480971364773355-0.01178426628295029j),(0.004393859396195429-0.018891466511013717j),(0.005440386069529273-0.019344035538882882j),(0.013637504943100384-0.03896033169177858j),(0.011305948807924165-0.017934262148997942j),(0.03515377866801829-0.046114963187756465j),(0.004783810716948969-0.014338183661069417j),(0.019093463033571345-0.038394967417168746j),(0.006931655943335408-0.012873946993822362j),(0.028069258777711097-0.04302775689138247j),(0.08963838114391655-0.038945406805365346j),(0.5077391396955286+0.45446853133269244j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004903561876774755-0.0070053927768709365j),(0.004903561876774755-0.0070053927768709365j),(0.004272109678901365-0.008414095004183001j),(0.006886033526947666-0.013127354442979121j),(0.003961260233401404-0.01277813004086058j),(0.007599305704449425-0.026508984109291762j),(0.0055391066386387645-0.01726682805685359j),(0.020882771022962737-0.04845911920696547j),(0.010665824295142812-0.01887080835635948j),(0.04631798926047921-0.050529899886527375j),(0.0062564514572983005-0.01251827189548866j),(0.026534805957898026-0.04163204819546767j),(0.006141387855221567-0.013019747130133595j),(0.03644153713999004-0.043730970096395066j),(0.08519025210136079-0.02828218289415319j),(0.4225489135305867+0.48275059655265173j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0046319757024681696-0.006546218074175608j),(0.0046319757024681696-0.006546218074175608j),(0.005151518956003338-0.007797342503856195j),(0.008599411574153155-0.012101808388204557j),(0.005743532920470166-0.009198708128144963j),(0.010729995708709264-0.01819892906956297j),(0.002786551249037395-0.011061891883396997j),(0.011592176981335604-0.033061059492238504j),(0.005232274191313099-0.018169487060857654j),(0.02954002629100862-0.0548496026037576j),(0.012129271307119778-0.017453812576613388j),(0.05803877372818209-0.05227616678070843j),(0.005494006717449357-0.012802082240684277j),(0.03432731310837944-0.042503459315367476j),(0.007887603028023358-0.012348689630861956j),(0.044665433905460676-0.0427022912237014j),(0.08522145864887773-0.015968473843893344j),(0.33732744648453833+0.49871903089881886j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0043496904396847745-0.005505779621213533j),(0.0043496904396847745-0.005505779621213533j),(0.004637812076242059-0.007167480517842381j),(0.007951550973276943-0.011381474660049101j),(0.006293429986234077-0.00845224665546862j),(0.012832161829718691-0.016720577639840705j),(0.0040412648952329044-0.007554735862003764j),(0.01460779893313841-0.022309560368374743j),(0.0025545264900151514-0.012271593265754575j),(0.0166332736945529-0.03792242004235323j),(0.005888626443543253-0.01745676228732936j),(0.038989226581179086-0.059175444136378326j),(0.01175552166070258-0.017165322418245903j),(0.06958595664982298-0.050421176907115735j),(0.007049360816817138-0.012225737116503847j),(0.04190946117753224-0.04177384559017734j),(0.007638664636500244-0.011468188453613902j),(0.05276599666611462-0.03951861671607342j),(0.0794597901857946-0.004724929509903957j),(0.2578676629668994+0.5034438627024758j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
